,Country,Poverty Headcount Ratio % Pop,Population Growth %annual,Total Population,Total Reserves,Gross Debt Position %GDP,Export Goods Services %GDP,Import Goods Services %GDP,Energy Intensity Level of Primary Energy mj per $,"Current account balance (BoP, current US$)",GDP (current US$),GDP growth (annual %),CO2 emissions (metric tons per capita),Access to electricity (% of population),"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",Population density (people per sq. km of land area),"Manufacturing, value added (% of GDP)","Industry, value added (% of GDP)","Services, value added (% of GDP)",Urban population (% of total population),Nuclear Language,Section on Nuclear,Operational Capacity (MW),Under Construction Capacity (MW),Shutdown Capacity (MW),Nuclear
50,GRC,0.1,-0.0562855184238398,10715549.0,11931180004.6485,213.1010806,31.8880748545979,39.4394058099101,3.72312234989223,-12618222578.8723,189410106620.016,-8.24773611483073,6.08317505028006,100.0,1.8531533856,83.2651823118697,8.30738041229753,13.9128567755269,69.8061162242531,79.715,0,0,0.0,0.0,0.0,0
51,GRD,,0.460536799472609,112519.0,293320432.166449,70.62739805,23.070344288216,54.3656255844399,2.97162883878338,-116327736.4428,1089203703.7037,-11.2307582271741,2.69181419303897,95.4287414550781,0.0,327.791176470588,3.08380230205553,13.37878504514,67.9153986092456,36.537,0,0,0.0,0.0,0.0,0
52,GTM,8.8,1.51998785357799,16858333.0,18463562201.5352,31.74172485,16.8953212822689,24.9453031685316,4.48345586321932,4248976410.0,77604632170.5853,-1.51932802919289,1.11396927255543,95.7245712280273,18.1432568214,152.547125793206,14.0896900473611,22.0777075124322,61.8682228349078,51.836,0,0,0.0,0.0,0.0,0
53,GUY,11.8,0.482243720375381,786559.0,680986959.718791,43.8885546,84.6228685715672,109.727888738605,6.3628666799684,-1696245503.9341,5471256594.72422,43.4795146332261,3.13219265038697,92.0216903686523,1.4120578667,3.95736347472695,4.24402392446419,38.7960801467797,38.9200329255047,26.786,0,0,0.0,0.0,0.0,0
54,HND,14.8,1.61313593312324,9904608.0,8138457727.65673,48.88231863,35.2289163537827,50.524829034906,6.15241325056345,-347298261.567879,23827840809.7014,-8.96476018404584,1.01903275747031,92.7795257568359,7.0939639079,85.6870408436858,16.0288055867036,25.950158911833,58.3418127285168,58.359,0,0,0.0,0.0,0.0,0
55,HRV,0.4,-0.445069568982822,4047200.0,23253815166.0319,87.20665228,41.6628883856594,48.8902463799873,4.05307604349478,-532493277.600593,55966581780.1688,-8.36737821725714,4.05592876243046,100.0,25.7342657343,72.2361371267008,11.9967908130963,21.5271166237474,58.9252023253934,57.553,0,0,0.0,0.0,0.0,0
56,HUN,0.2,-0.219026829355275,9749763.0,41349416012.5512,81.19519872,79.6627203325104,77.5068273741757,4.31831150570238,166968671.394879,155012927629.087,-4.95674851669689,4.74550624393641,100.0,74.6039856924,107.117729563883,18.0347278941736,25.2468039343185,55.8312514602784,71.942,0,0,1902.0,0.0,0.0,1
57,IDN,2.7,1.06517898587775,273523621.0,135915917616.263,36.62103271,17.1683353704186,16.0222532818584,3.52522267437828,-4341493722.72682,1058423838345.14,-2.06954349906437,2.17846155349724,98.85,4.1031284389,142.566093339135,19.8782656783251,38.2611735100338,44.39914605479,56.641,0,0,0.0,0.0,0.0,0
58,IND,22.5,0.989413800188014,1380004385.0,590227359928.896,89.55868091,18.0765867880475,18.3932965777645,4.73091044855314,33006863208.3402,2622983732006.45,-7.9646104111382,1.79982544579379,97.8152847290039,2.2339027595,454.946465917079,12.9616850273353,23.1987388080869,49.2663781471261,34.926,0,0,6885.0,4194.0,0.0,1
59,IRL,0.2,1.21632299788168,4994724.0,7463044894.51105,59.801244,127.639874350788,97.6739294475006,1.94829340955039,-44933860211.6341,418621818482.305,3.41781552662215,7.62432519277565,100.0,5.9233449477,70.6534475250399,36.6228494763307,39.0861548599685,54.3821835097524,63.653,0,0,0.0,0.0,0.0,0
